0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 3.000000000000000444e-01 1.000000000000000056e-01 5.000000000000000000e-01 3.000000000000000444e-01 5.000000000000000000e-01 4.000000000000000222e-01 4.000000000000000222e-01 1.399999999999999911e+00 8.000000000000000444e-01 8.999999999999999112e-01 1.099999999999999867e+00 1.199999999999999956e+00 1.100000000000000089e+00 9.999999999999998890e-01 2.200000000000000178e+00 1.500000000000000222e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.400000000000000355e+00 2.600000000000000089e+00 3.000000000000000000e+00 4.099999999999999645e+00 2.500000000000000000e+00 2.600000000000000533e+00 2.899999999999999911e+00 2.999999999999999556e+00 2.500000000000000000e+00 4.400000000000000355e+00 3.700000000000000178e+00 3.699999999999999734e+00 3.700000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000444e-01 3.000000000000000444e-01 3.000000000000000444e-01 4.000000000000000222e-01 2.000000000000000111e-01 5.000000000000000000e-01 7.000000000000000666e-01 1.000000000000000000e+00 1.100000000000000089e+00 8.000000000000000444e-01 1.199999999999999956e+00 7.000000000000000666e-01 1.500000000000000222e+00 2.000000000000000000e+00 2.200000000000000178e+00 2.200000000000000178e+00 3.199999999999999734e+00 3.700000000000000622e+00 2.400000000000000355e+00 2.900000000000000355e+00 3.299999999999999822e+00 2.700000000000000178e+00 3.400000000000000355e+00 3.400000000000000355e+00 3.199999999999999734e+00 2.500000000000000444e+00 2.900000000000000355e+00 2.999999999999999556e+00 3.500000000000000000e+00 3.399999999999999911e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00 3.500000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 2.000000000000000111e-01 1.000000000000000056e-01 2.000000000000000111e-01 5.000000000000000000e-01 3.000000000000000444e-01 9.000000000000000222e-01 5.999999999999999778e-01 8.999999999999999112e-01 7.999999999999999334e-01 1.399999999999999911e+00 1.000000000000000000e+00 9.999999999999998890e-01 7.999999999999999334e-01 1.099999999999999867e+00 1.300000000000000044e+00 2.299999999999999822e+00 1.500000000000000000e+00 2.400000000000000355e+00 2.000000000000000000e+00 1.799999999999999822e+00 1.800000000000000266e+00 2.900000000000000355e+00 2.899999999999999911e+00 2.600000000000000089e+00 2.700000000000000178e+00 3.000000000000000000e+00 2.200000000000000178e+00 2.299999999999999822e+00 3.399999999999999911e+00 4.099999999999999645e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00 4.200000000000000178e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 3.000000000000000444e-01 0.000000000000000000e+00 3.000000000000000444e-01 4.000000000000000222e-01 2.000000000000000111e-01 5.999999999999999778e-01 4.000000000000000222e-01 6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+00 1.399999999999999911e+00 8.000000000000000444e-01 1.000000000000000000e+00 1.299999999999999822e+00 9.000000000000001332e-01 1.699999999999999956e+00 1.500000000000000000e+00 2.299999999999999822e+00 2.200000000000000178e+00 2.000000000000000000e+00 2.000000000000000000e+00 1.800000000000000266e+00 2.000000000000000000e+00 2.199999999999999734e+00 2.300000000000000266e+00 2.900000000000000355e+00 2.600000000000000089e+00 2.299999999999999822e+00 2.200000000000000178e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00 2.400000000000000355e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 1.000000000000000056e-01 4.000000000000000222e-01 4.000000000000000222e-01 3.000000000000000444e-01 8.000000000000000444e-01 1.000000000000000056e-01 3.000000000000000444e-01 6.999999999999999556e-01 9.000000000000000222e-01 1.000000000000000000e+00 1.400000000000000133e+00 1.200000000000000178e+00 1.500000000000000444e+00 9.999999999999998890e-01 1.000000000000000000e+00 1.100000000000000089e+00 2.399999999999999911e+00 2.500000000000000000e+00 2.799999999999999822e+00 3.300000000000000711e+00 3.100000000000000089e+00 2.100000000000000089e+00 2.600000000000000089e+00 2.600000000000000089e+00 2.600000000000000089e+00 2.100000000000000089e+00 2.300000000000000266e+00 2.000000000000000444e+00 2.200000000000000178e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.100000000000000089e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000111e-01 2.000000000000000111e-01 3.000000000000000444e-01 2.000000000000000111e-01 4.000000000000000222e-01 2.000000000000000111e-01 8.000000000000000444e-01 8.000000000000000444e-01 6.000000000000000888e-01 1.199999999999999956e+00 1.000000000000000000e+00 1.100000000000000089e+00 5.000000000000000000e-01 1.199999999999999956e+00 1.000000000000000000e+00 9.000000000000000222e-01 1.299999999999999822e+00 1.800000000000000266e+00 2.000000000000000000e+00 2.600000000000000089e+00 1.900000000000000133e+00 1.899999999999999911e+00 2.199999999999999734e+00 1.899999999999999911e+00 2.800000000000000266e+00 1.800000000000000266e+00 2.600000000000000089e+00 1.899999999999999911e+00 2.399999999999999911e+00 2.100000000000000089e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 1.000000000000000056e-01 1.000000000000000056e-01 2.000000000000000111e-01 3.000000000000000444e-01 4.000000000000000222e-01 2.000000000000000111e-01 5.000000000000000000e-01 2.000000000000000111e-01 1.000000000000000056e-01 3.000000000000000444e-01 7.000000000000000666e-01 1.100000000000000089e+00 1.199999999999999956e+00 8.999999999999999112e-01 1.499999999999999778e+00 1.099999999999999867e+00 1.600000000000000089e+00 6.999999999999999556e-01 1.799999999999999822e+00 1.800000000000000266e+00 2.299999999999999822e+00 1.600000000000000089e+00 1.900000000000000355e+00 1.900000000000000133e+00 1.699999999999999956e+00 2.900000000000000355e+00 2.000000000000000000e+00 1.899999999999999911e+00 2.000000000000000000e+00 2.200000000000000178e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 5.000000000000000000e-01 1.000000000000000056e-01 3.000000000000000444e-01 2.000000000000000111e-01 2.000000000000000111e-01 5.000000000000000000e-01 9.999999999999998890e-01 8.000000000000000444e-01 6.000000000000000888e-01 2.000000000000000111e-01 7.999999999999999334e-01 9.999999999999998890e-01 1.100000000000000089e+00 8.999999999999999112e-01 1.199999999999999956e+00 8.000000000000000444e-01 1.100000000000000311e+00 6.000000000000000888e-01 1.199999999999999956e+00 1.800000000000000266e+00 3.399999999999999911e+00 2.299999999999999822e+00 1.900000000000000133e+00 1.899999999999999911e+00 2.000000000000000444e+00 2.100000000000000533e+00 2.300000000000000266e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 2.000000000000000111e-01 1.000000000000000056e-01 2.000000000000000111e-01 2.000000000000000111e-01 1.000000000000000056e-01 5.000000000000000000e-01 5.999999999999999778e-01 6.999999999999999556e-01 5.999999999999999778e-01 8.999999999999999112e-01 2.000000000000000111e-01 6.999999999999999556e-01 1.500000000000000000e+00 1.600000000000000089e+00 5.999999999999999778e-01 1.199999999999999956e+00 1.500000000000000222e+00 1.400000000000000133e+00 1.700000000000000178e+00 1.800000000000000044e+00 2.500000000000000000e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 3.300000000000000266e+00 3.200000000000000622e+00 2.100000000000000533e+00 1.699999999999999956e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00 1.899999999999999911e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000222e-01 4.000000000000000222e-01 2.000000000000000111e-01 3.000000000000000444e-01 9.000000000000000222e-01 6.999999999999999556e-01 5.999999999999999778e-01 8.999999999999999112e-01 1.199999999999999956e+00 7.999999999999999334e-01 5.000000000000000000e-01 1.199999999999999956e+00 1.800000000000000266e+00 8.000000000000000444e-01 1.300000000000000044e+00 8.000000000000000444e-01 1.099999999999999867e+00 1.100000000000000089e+00 2.399999999999999911e+00 3.299999999999999822e+00 2.899999999999999911e+00 2.099999999999999645e+00 1.999999999999999778e+00 2.500000000000000444e+00 2.800000000000000266e+00 2.799999999999999822e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00 2.499999999999999556e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 1.000000000000000056e-01 2.000000000000000111e-01 2.000000000000000111e-01 0.000000000000000000e+00 4.000000000000000222e-01 8.999999999999999112e-01 6.999999999999999556e-01 2.999999999999999889e-01 5.000000000000000000e-01 6.000000000000000888e-01 5.000000000000000000e-01 1.100000000000000089e+00 1.500000000000000000e+00 8.000000000000000444e-01 1.500000000000000222e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.100000000000000089e+00 1.800000000000000044e+00 1.099999999999999867e+00 1.500000000000000000e+00 2.000000000000000000e+00 1.599999999999999867e+00 1.599999999999999867e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000056e-01 2.000000000000000111e-01 1.000000000000000056e-01 1.000000000000000056e-01 3.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000444e-01 3.000000000000000444e-01 3.000000000000000444e-01 1.000000000000000056e-01 9.000000000000000222e-01 5.000000000000000000e-01 5.000000000000000000e-01 4.000000000000000222e-01 6.999999999999999556e-01 8.999999999999999112e-01 5.000000000000000000e-01 6.999999999999999556e-01 8.999999999999999112e-01 1.699999999999999956e+00 1.400000000000000133e+00 1.400000000000000133e+00 5.000000000000000000e-01 1.800000000000000044e+00 1.700000000000000178e+00 1.599999999999999867e+00 1.800000000000000266e+00 2.200000000000000178e+00 2.000000000000000000e+00 2.100000000000000089e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 2.000000000000000111e-01 1.000000000000000056e-01 1.000000000000000056e-01 3.000000000000000444e-01 3.000000000000000444e-01 5.999999999999999778e-01 4.000000000000000222e-01 5.000000000000000000e-01 5.000000000000000000e-01 6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e-01 1.000000000000000000e+00 6.999999999999999556e-01 1.000000000000000000e+00 1.000000000000000222e+00 1.300000000000000044e+00 1.099999999999999867e+00 1.500000000000000000e+00 1.199999999999999956e+00 1.699999999999999956e+00 2.000000000000000000e+00 1.100000000000000089e+00 1.299999999999999822e+00 2.100000000000000089e+00 2.100000000000000089e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
